Geneid	Chr	Start	End	Strand	Length	Col_0h_rep1.Aligned.sortedByCoord.out.bam	Col_0h_rep2.Aligned.sortedByCoord.out.bam	Col_0h_rep3.Aligned.sortedByCoord.out.bam	Col_3h_rep1.Aligned.sortedByCoord.out.bam	Col_3h_rep2.Aligned.sortedByCoord.out.bam	Col_3h_rep3.Aligned.sortedByCoord.out.bam
gene-AT3G07605	CP002686.1	17289398	17289611	-	214	0	0	0	0	0	0
gene-AT3G46960	CP002686.1	17290873	17298222	-	7350	1655	1789	1745	1784	1860	1458
gene-AT3G46970	CP002686.1	17301394	17306633	-	5240	1852	1894	1629	3002	3248	3211
gene-AT3G46980	CP002686.1	17306599	17310068	-	3470	1184	1231	1321	1062	1208	972
gene-AT3G46990	CP002686.1	17311672	17313752	+	2081	158	274	180	160	224	192
gene-AT3G07615	CP002686.1	17312637	17313543	-	907	0	0	0	0	0	0
gene-AT3G47000	CP002686.1	17313646	17316639	-	2994	1803	1756	1769	2093	2129	1900
gene-AT3G07625	CP002686.1	17315766	17316094	+	329	0	0	0	0	0	0
gene-AT3G47010	CP002686.1	17316635	17319531	-	2897	280	220	253	298	289	258
gene-AT3G47020	CP002686.1	17319862	17321077	+	1216	0	0	0	0	0	0
gene-AT3G47030	CP002686.1	17322119	17323594	+	1476	18	10	14	20	8	2
gene-AT3G47040	CP002686.1	17324102	17327152	-	3051	100	82	108	94	88	58
gene-AT3G47050	CP002686.1	17327935	17330889	-	2955	44	56	59	40	46	46
gene-AT3G00820	CP002686.1	17331174	17331772	-	599	0	0	0	0	0	0
gene-AT3G47060	CP002686.1	17332926	17336966	+	4041	984	938	893	914	1058	819
gene-AT3G47070	CP002686.1	17336592	17337733	-	1142	12114	11545	10582	10778	10755	10103
gene-AT3G47080	CP002686.1	17338102	17340543	-	2442	1621	1646	1316	2020	2576	1893
gene-AT3G47090	CP002686.1	17341235	17344762	-	3528	96	52	30	83	96	70
gene-AT3G07635	CP002686.1	17344712	17345113	-	402	6	5	2	0	6	6
gene-AT3G47100	CP002686.1	17345570	17346106	+	537	0	4	0	0	2	0
gene-AT3G00830	CP002686.1	17346262	17347078	-	817	0	2	2	4	3	7
gene-AT3G47110	CP002686.1	17347103	17350953	-	3851	76	72	65	111	98	94
gene-AT3G47120	CP002686.1	17350898	17352853	-	1956	528	546	486	548	542	464
gene-AT3G47130	CP002686.1	17353714	17355086	+	1373	0	0	0	0	0	0
gene-AT3G47140	CP002686.1	17357026	17357801	+	776	0	0	0	0	0	0
gene-AT3G47150	CP002686.1	17358591	17359765	+	1175	0	0	0	0	0	0
gene-AT3G47160	CP002686.1	17359758	17362240	-	2483	358	398	378	2608	2572	2436
gene-AT3G47170	CP002686.1	17368672	17370494	-	1823	0	0	0	0	0	0
gene-AT3G07645	CP002686.1	17371468	17371771	-	304	0	0	0	0	0	0
gene-AT3G47180	CP002686.1	17372731	17373547	-	817	48	42	26	30	26	52
gene-AT3G47190	CP002686.1	17374379	17376054	-	1676	0	0	2	0	2	2
gene-AT3G47200	CP002686.1	17377443	17379395	-	1953	150	150	144	173	216	192
gene-AT3G07655	CP002686.1	17384258	17384754	-	497	0	0	0	0	0	0
gene-AT3G07665	CP002686.1	17384293	17384713	+	421	0	0	0	0	0	0
gene-AT3G47210	CP002686.1	17385161	17387244	+	2084	98	130	110	178	160	134
gene-AT3G47220	CP002686.1	17387883	17390960	+	3078	46	48	63	55	78	44
gene-AT3G07675	CP002686.1	17398671	17398972	+	302	3	6	0	2	0	2
gene-AT3G47250	CP002686.1	17399757	17401871	-	2115	6500	5736	5391	6358	6664	5709
gene-AT3G07685	CP002686.1	17402762	17402873	-	112	0	0	0	0	0	0
gene-AT3G07695	CP002686.1	17418776	17419220	+	445	0	0	0	0	0	0
gene-AT3G47290	CP002686.1	17420397	17424342	+	3946	2206	2234	2089	1783	2158	1650
gene-AT3G47295	CP002686.1	17427950	17428511	+	562	4033	4291	3657	3424	3673	2959
gene-AT3G07705	CP002686.1	17427973	17428237	-	265	0	2	4	8	6	13
gene-AT3G47300	CP002686.1	17428443	17429623	-	1181	332	380	360	464	360	333
gene-AT3G47340	CP002686.1	17437840	17441431	-	3592	5398	4829	5641	31345	27310	24784
gene-AT3G47341	CP002686.1	17441421	17441567	+	147	0	0	0	0	0	0
gene-AT3G07715	CP002686.1	17445266	17445329	+	64	32	26	38	9	2	6
gene-AT3G47342	CP002686.1	17445382	17445459	+	78	6	3	1	0	1	1
gene-AT3G07725	CP002686.1	17445498	17445652	+	155	33	24	24	2	0	6
gene-AT3G07735	CP002686.1	17445699	17445771	+	73	8	9	6	1	0	0
gene-AT3G47347	CP002686.1	17445810	17445886	+	77	37	46	25	9	13	6
gene-AT3G47348	CP002686.1	17445963	17446047	+	85	381	328	360	229	256	225
gene-AT3G47350	CP002686.1	17446818	17450742	+	3925	4723	5347	4658	4459	4979	4672
gene-AT3G47360	CP002686.1	17450852	17452949	+	2098	409	384	377	438	453	437
gene-AT3G47370	CP002686.1	17453423	17454730	-	1308	3116	3469	3382	2422	2854	2530
gene-AT3G47380	CP002686.1	17457614	17458599	+	986	166	182	198	208	238	188
gene-AT3G47390	CP002686.1	17459339	17464865	+	5527	1134	1272	1156	1337	1409	1348
gene-AT3G07745	CP002686.1	17459901	17460143	-	243	0	0	0	0	0	0
gene-AT3G47400	CP002686.1	17465510	17468118	+	2609	152	112	216	190	184	148
gene-AT3G47410	CP002686.1	17468713	17469517	-	805	0	0	0	0	0	0
gene-AT3G07755	CP002686.1	17469946	17470020	-	75	0	0	0	0	0	0
gene-AT3G47420	CP002686.1	17472297	17475274	-	2978	3757	3452	3219	6175	7334	5196
gene-AT3G47430	CP002686.1	17480521	17481800	+	1280	3769	3324	3098	2926	3169	2384
gene-AT3G47440	CP002686.1	17481996	17483158	+	1163	2	0	0	0	0	0
gene-AT3G47450	CP002686.1	17483068	17486347	-	3280	2458	2701	2409	2308	2408	2375
gene-AT3G47460	CP002686.1	17486490	17493395	+	6906	564	606	476	524	570	510
gene-AT3G47470	CP002686.1	17493343	17495033	-	1691	284804	295335	257359	306806	330374	301780
gene-AT3G07765	CP002686.1	17495615	17495864	+	250	0	0	0	0	0	0
gene-AT3G47480	CP002686.1	17496085	17497164	-	1080	347	84	40	96	76	91
gene-AT3G47490	CP002686.1	17498148	17501006	+	2859	1369	1330	1166	1374	1466	1276
gene-AT3G47500	CP002686.1	17503883	17506124	-	2242	3040	3216	2692	12404	13593	12007
gene-AT3G47510	CP002686.1	17510981	17511858	+	878	380	384	376	224	206	240
gene-AT3G47520	CP002686.1	17512816	17515155	+	2340	6393	7176	6333	6134	6516	5840
gene-AT3G47530	CP002686.1	17517303	17519305	-	2003	110	120	116	168	190	124
gene-AT3G07775	CP002686.1	17520412	17521027	-	616	6	0	0	0	0	0
gene-AT3G47540	CP002686.1	17520958	17522624	+	1667	384	282	258	282	316	256
gene-AT3G47550	CP002686.1	17523367	17525540	+	2174	852	930	786	1948	2338	1876
gene-AT3G47560	CP002686.1	17525476	17527162	-	1687	1533	1642	1318	1558	1728	1534
gene-AT3G47570	CP002686.1	17527507	17531041	+	3535	274	268	248	640	608	578
gene-AT3G47580	CP002686.1	17532612	17536059	+	3448	332	318	234	428	534	371
gene-AT3G07785	CP002686.1	17532746	17534933	-	2188	0	0	0	0	0	0
gene-AT3G47590	CP002686.1	17535759	17537580	-	1822	696	812	708	722	744	641
gene-AT3G47600	CP002686.1	17539289	17541307	-	2019	490	508	628	570	577	529
gene-AT3G47610	CP002686.1	17549111	17551520	+	2410	1132	1083	1039	1344	1363	1134
gene-AT3G47620	CP002686.1	17558793	17561259	+	2467	5123	4998	4849	8912	8299	7271
gene-AT3G47630	CP002686.1	17562941	17565685	-	2745	466	451	422	548	576	468
gene-AT3G47640	CP002686.1	17567126	17569394	+	2269	438	614	411	252	308	286
gene-AT3G47650	CP002686.1	17569424	17570607	+	1184	8367	8507	7504	7637	7986	7514
gene-AT3G47660	CP002686.1	17570696	17574805	+	4110	12	12	6	47	94	59
gene-AT3G47670	CP002686.1	17574785	17575880	-	1096	716	790	784	946	1014	850
gene-AT3G07795	CP002686.1	17575071	17575290	+	220	2	2	2	0	6	0
gene-AT3G47675	CP002686.1	17576004	17579578	-	3575	635	666	592	653	667	584
gene-AT3G47680	CP002686.1	17577398	17579577	-	2180	0	0	0	0	0	0
gene-AT3G47690	CP002686.1	17581096	17583586	+	2491	174	220	166	232	192	228
gene-AT3G47700	CP002686.1	17583601	17586707	-	3107	484	404	410	542	568	592
gene-AT3G47710	CP002686.1	17590544	17591670	+	1127	26	28	16	24	12	18
gene-AT3G47720	CP002686.1	17592558	17594132	+	1575	56	18	4	6	0	5
gene-AT3G47730	CP002686.1	17594060	17599083	-	5024	2920	2672	2843	2906	3202	2638
gene-AT3G07805	CP002686.1	17594357	17598436	+	4080	16	4	4	6	0	0
gene-AT3G07815	CP002686.1	17600428	17600632	-	205	0	0	0	0	0	0
gene-AT3G47740	CP002686.1	17600521	17605128	+	4608	10	24	36	16	8	12
gene-AT3G47750	CP002686.1	17606359	17611065	+	4707	362	326	342	228	250	228
gene-AT3G47760	CP002686.1	17611787	17616743	+	4957	8	6	6	6	0	2
gene-AT3G47770	CP002686.1	17617972	17622915	+	4944	20	22	26	4	18	4
gene-AT3G47780	CP002686.1	17624340	17629285	+	4946	602	598	570	390	480	430
gene-AT3G47790	CP002686.1	17629530	17633942	+	4413	314	302	281	336	370	274
gene-AT3G47800	CP002686.1	17634804	17637204	+	2401	1468	1626	1630	6741	6456	5684
gene-AT3G47810	CP002686.1	17637122	17639716	-	2595	2923	3200	2701	2684	2789	2704
gene-AT3G07825	CP002686.1	17638210	17638908	+	699	0	0	0	0	0	0
gene-AT3G47820	CP002686.1	17644198	17646268	+	2071	306	346	355	768	828	736
gene-AT3G47830	CP002686.1	17647004	17648431	+	1428	48	82	64	60	42	62
gene-AT3G47833	CP002686.1	17648495	17650173	+	1679	856	809	798	743	894	734
gene-AT3G47836	CP002686.1	17650260	17651849	-	1590	714	644	604	634	716	756
gene-AT3G47840	CP002686.1	17651841	17654032	+	2192	56	48	70	72	74	66
gene-AT3G47850	CP002686.1	17654129	17656013	-	1885	810	829	830	1023	1194	1010
gene-AT3G47860	CP002686.1	17656602	17658353	-	1752	672	652	626	776	838	674
gene-AT3G47870	CP002686.1	17659680	17661354	-	1675	6	0	4	4	2	4
gene-AT3G47890	CP002686.1	17666927	17673928	-	7002	2016	1851	1869	1797	1856	1659
gene-AT3G47910	CP002686.1	17674287	17681730	-	7444	3043	3000	3003	2914	2939	2551
gene-AT3G47920	CP002686.1	17682952	17683854	+	903	0	0	0	0	0	0
gene-AT3G47930	CP002686.1	17684322	17687661	+	3340	1243	1213	1228	1088	1140	926
gene-AT3G47940	CP002686.1	17687885	17689743	-	1859	348	336	345	404	444	374
gene-AT3G47950	CP002686.1	17692666	17697999	+	5334	146	96	138	120	126	128
gene-AT3G47960	CP002686.1	17697942	17700923	-	2982	3311	3185	3082	2945	3368	2680
gene-AT3G07835	CP002686.1	17698204	17698527	+	324	0	0	0	0	0	2
gene-AT3G07845	CP002686.1	17702723	17702995	+	273	0	0	0	0	0	0
gene-AT3G47965	CP002686.1	17707918	17708918	-	1001	184	196	237	236	240	232
gene-AT3G47980	CP002686.1	17710160	17712946	+	2787	328	412	342	460	412	388
gene-AT3G47990	CP002686.1	17713094	17716349	-	3256	1462	1402	1346	1481	1636	1461
gene-AT3G48000	CP002686.1	17716864	17720169	-	3306	9307	8224	7840	8430	8798	7225
gene-AT3G48010	CP002686.1	17721137	17724140	-	3004	6	14	8	12	10	2
gene-AT3G48020	CP002686.1	17724400	17725198	+	799	170	126	118	170	156	133
gene-AT3G48030	CP002686.1	17725410	17728256	-	2847	741	795	766	778	864	828
gene-AT3G07855	CP002686.1	17728322	17728878	+	557	0	0	0	0	0	0
gene-AT3G48040	CP002686.1	17731337	17733513	+	2177	572	554	563	728	754	692
gene-AT3G48050	CP002686.1	17733515	17739870	-	6356	3885	3766	3703	4493	4838	3876
gene-AT3G48057	CP002686.1	17742098	17742302	+	205	0	0	0	2	2	0
gene-AT3G48060	CP002686.1	17742989	17748785	-	5797	1365	1411	1286	1834	1917	1532
gene-AT3G48070	CP002686.1	17750710	17752965	+	2256	1352	1238	1066	1464	1392	1190
gene-AT3G48080	CP002686.1	17752463	17755190	-	2728	243	248	174	176	263	162
gene-AT3G48090	CP002686.1	17755329	17758147	-	2819	1494	1094	1018	1415	1613	1296
gene-AT3G48100	CP002686.1	17758427	17760950	-	2524	233	298	224	2909	3224	2763
gene-AT3G07865	CP002686.1	17761791	17762033	-	243	0	0	0	0	0	0
gene-AT3G48110	CP002686.1	17762970	17771146	+	8177	4501	4656	4546	4166	4438	3964
gene-AT3G48115	CP002686.1	17771170	17772926	-	1757	1126	1084	877	1029	1241	1041
gene-AT3G48120	CP002686.1	17772057	17774739	+	2683	330	356	274	319	392	355
gene-AT3G48131	CP002686.1	17775456	17775587	-	132	3	0	2	0	1	0
gene-AT3G48140	CP002686.1	17778282	17779601	+	1320	10903	10828	10555	10140	11288	10261
gene-AT3G48150	CP002686.1	17779507	17782682	-	3176	408	457	468	319	360	306
gene-AT3G48160	CP002686.1	17783331	17786160	+	2830	238	270	222	168	236	194
gene-AT3G48170	CP002686.1	17785854	17790026	-	4173	2798	2812	2690	2642	3051	2492
gene-AT3G48180	CP002686.1	17790312	17790919	-	608	48	60	62	70	54	86
gene-AT3G48185	CP002686.1	17792809	17793768	-	960	112	146	126	164	182	134
gene-AT3G48187	CP002686.1	17797628	17800168	+	2541	282	324	321	297	363	292
gene-AT3G07875	CP002686.1	17798981	17800373	-	1393	0	0	0	0	0	0
gene-AT3G48190	CP002686.1	17801289	17828553	+	27265	2120	2127	1962	1836	1940	1794
gene-AT3G48195	CP002686.1	17828572	17832759	-	4188	1232	1178	1156	1648	1656	1393
gene-AT3G07885	CP002686.1	17831288	17831779	+	492	0	0	2	0	0	0
gene-AT3G48200	CP002686.1	17832770	17837998	-	5229	9298	9268	7960	7921	7938	6904
gene-AT3G48201	CP002686.1	17838135	17838266	-	132	0	4	2	5	6	3
gene-AT3G07895	CP002686.1	17839020	17839345	+	326	0	0	0	0	0	0
gene-AT3G48205	CP002686.1	17840610	17841288	+	679	0	0	0	0	0	0
gene-AT3G07905	CP002686.1	17844189	17844468	+	280	0	0	0	0	0	0
gene-AT3G48208	CP002686.1	17846046	17846645	+	600	0	0	0	0	0	0
gene-AT3G48209	CP002686.1	17847681	17847884	+	204	0	0	0	0	0	0
gene-AT3G48210	CP002686.1	17849351	17851785	+	2435	506	516	530	446	442	416
gene-AT3G48220	CP002686.1	17852284	17853557	-	1274	0	0	0	0	0	0
gene-AT3G48230	CP002686.1	17855112	17858120	+	3009	5	0	2	0	2	0
gene-AT3G48231	CP002686.1	17858234	17858874	-	641	0	0	0	0	0	0
gene-AT3G07915	CP002686.1	17863335	17863612	+	278	2	4	0	2	3	0
gene-AT3G48240	CP002686.1	17867131	17868460	+	1330	90	60	42	28	36	38
gene-AT3G48250	CP002686.1	17869515	17872032	-	2518	252	250	208	264	236	188
gene-AT3G48260	CP002686.1	17872820	17875530	-	2711	107	124	112	90	105	96
gene-AT3G48270	CP002686.1	17876571	17878173	+	1603	0	0	2	1	0	0
gene-AT3G48280	CP002686.1	17879542	17881388	+	1847	210	204	191	210	232	166
gene-AT3G48290	CP002686.1	17882465	17884515	+	2051	48	101	55	30	56	30
gene-AT3G48300	CP002686.1	17885465	17887272	+	1808	12	22	26	20	16	14
gene-AT3G48298	CP002686.1	17885542	17885667	-	126	0	0	0	0	0	0
gene-AT3G48310	CP002686.1	17887996	17889942	+	1947	2097	1512	1659	1314	1460	1070
gene-AT3G48320	CP002686.1	17891134	17892847	+	1714	963	835	741	1037	1104	824
gene-AT3G07925	CP002686.1	17891635	17892264	-	630	10	1	2	4	4	6
gene-AT3G48330	CP002686.1	17892738	17894162	-	1425	665	612	612	707	738	698
gene-AT3G48275	CP002686.1	17894411	17894482	+	72	0	0	0	0	0	0
gene-AT3G48340	CP002686.1	17897506	17899351	+	1846	382	312	504	386	423	364
gene-AT3G48343	CP002686.1	17899785	17900996	+	1212	4	0	2	0	0	0
gene-AT3G48344	CP002686.1	17902088	17902872	-	785	0	0	0	0	0	0
gene-AT3G48346	CP002686.1	17902972	17903751	+	780	4	8	15	4	2	6
gene-AT3G07935	CP002686.1	17904077	17904358	+	282	0	2	1	0	0	0
gene-AT3G48350	CP002686.1	17905725	17907690	+	1966	676	742	575	647	786	557
gene-AT3G48360	CP002686.1	17907767	17910738	-	2972	7265	6664	8306	21938	18525	15520
gene-AT3G07945	CP002686.1	17911598	17911877	+	280	0	0	0	0	0	0
gene-AT3G48380	CP002686.1	17916416	17920315	+	3900	1530	1580	1502	2263	2142	1713
gene-AT3G48390	CP002686.1	17920795	17923496	+	2702	288	300	330	970	788	662
gene-AT3G48410	CP002686.1	17923551	17928280	-	4730	272	358	294	253	336	232
gene-AT3G48400	CP002686.1	17923678	17925589	+	1912	34	55	60	26	58	30
gene-AT3G48420	CP002686.1	17929581	17931713	+	2133	8112	8035	7738	7171	7260	6915
gene-AT3G48425	CP002686.1	17931705	17934744	+	3040	374	426	286	328	292	302
gene-AT3G48430	CP002686.1	17935256	17940792	+	5537	1796	1676	1748	1946	2012	1740
gene-AT3G48440	CP002686.1	17941046	17943855	+	2810	416	514	432	420	512	452
gene-AT3G48450	CP002686.1	17943933	17945138	-	1206	90	116	124	104	110	110
gene-AT3G48460	CP002686.1	17949416	17951250	+	1835	1975	2102	1850	826	900	702
gene-AT3G48470	CP002686.1	17951626	17956920	+	5295	442	452	394	456	512	412
gene-AT3G48475	CP002686.1	17954727	17956096	-	1370	0	0	0	0	0	0
gene-AT3G48480	CP002686.1	17956936	17959124	-	2189	48	96	42	56	40	28
gene-AT3G07955	CP002686.1	17959814	17960123	+	310	0	0	0	0	0	0
gene-AT3G07965	CP002686.1	17960100	17960625	-	526	0	0	0	0	0	0
gene-AT3G48490	CP002686.1	17961266	17962014	+	749	110	108	106	86	86	98
gene-AT3G48500	CP002686.1	17962080	17965723	+	3644	3256	3457	3385	2950	3256	2970
gene-AT3G07975	CP002686.1	17966009	17966281	-	273	0	0	0	0	0	0
gene-AT3G48510	CP002686.1	17967354	17968590	-	1237	74	58	60	150	196	192
gene-AT3G48515	CP002686.1	17974591	17974676	-	86	0	0	0	0	0	0
gene-AT3G48520	CP002686.1	17974853	17976774	-	1922	104	118	212	1852	2530	2714
gene-AT3G07985	CP002686.1	17977860	17978098	+	239	0	0	0	0	0	0
gene-AT3G48530	CP002686.1	17987378	17989763	+	2386	3226	3008	3110	5477	5665	4624
gene-AT3G48540	CP002686.1	17989798	17992039	-	2242	67	148	108	110	78	119
gene-AT3G48550	CP002686.1	17993819	17994779	+	961	122	107	106	94	106	104
gene-AT3G48560	CP002686.1	18001283	18003749	-	2467	21954	21519	21388	20866	21023	17471
gene-AT3G48570	CP002686.1	18003818	18005272	-	1455	358	376	383	400	396	410
gene-AT3G00840	CP002686.1	18005772	18006634	+	863	0	0	0	0	0	0
gene-AT3G48580	CP002686.1	18007098	18008535	+	1438	10	4	10	2	14	6
gene-AT3G48590	CP002686.1	18008593	18010018	-	1426	1100	1143	1032	1505	1574	1421
gene-AT3G48600	CP002686.1	18010026	18011440	-	1415	148	161	106	120	140	155
gene-AT3G48610	CP002686.1	18011475	18014204	-	2730	2326	2302	2061	1812	1910	1563
gene-AT3G48620	CP002686.1	18015983	18017821	+	1839	0	0	0	0	0	0
gene-AT3G00850	CP002686.1	18018039	18020984	-	2946	73	4	0	18	31	0
gene-AT3G48630	CP002686.1	18018226	18018808	-	583	0	0	0	0	0	0
gene-AT3G48640	CP002686.1	18021356	18022648	-	1293	140	28	4	10	60	10
gene-AT3G48660	CP002686.1	18029659	18030133	+	475	92	83	75	54	58	89
gene-AT3G48670	CP002686.1	18030669	18034065	+	3397	1820	1764	1705	1600	1714	1475
gene-AT3G48675	CP002686.1	18034192	18034551	+	360	0	0	0	0	0	0
gene-AT3G48680	CP002686.1	18034935	18037041	+	2107	2156	2005	1772	2006	2093	1872
gene-AT3G48690	CP002686.1	18037046	18038234	-	1189	7490	6696	6606	6591	6985	5523
gene-AT3G48700	CP002686.1	18038648	18039879	-	1232	233	294	218	197	241	196
gene-AT3G48710	CP002686.1	18040675	18044368	+	3694	1548	1464	1494	1382	1601	1294
gene-AT3G48720	CP002686.1	18046144	18049474	+	3331	1102	1412	1355	962	1112	882
gene-AT3G48730	CP002686.1	18049571	18051778	+	2208	8981	9990	8983	8920	9511	8478
gene-AT3G48740	CP002686.1	18052466	18054832	-	2367	5696	5128	4854	4711	5556	4740
gene-AT3G48745	CP002686.1	18069078	18069149	+	72	0	0	0	0	0	0
gene-AT3G48750	CP002686.1	18071454	18074641	+	3188	2571	2622	2365	2714	2758	2415
gene-AT3G48760	CP002686.1	18075705	18078363	+	2659	2051	2060	2013	2532	2608	2299
gene-AT3G48770	CP002686.1	18078452	18087414	-	8963	56	60	46	56	64	48
gene-AT3G07995	CP002686.1	18087216	18087707	+	492	0	0	0	0	4	0
gene-AT3G08005	CP002686.1	18087424	18087739	-	316	0	0	0	0	0	0
gene-AT3G48780	CP002686.1	18089020	18093252	+	4233	1702	1768	1593	2108	2252	2052
gene-AT3G48790	CP002686.1	18093267	18095329	+	2063	58	61	28	50	33	37
gene-AT3G48800	CP002686.1	18095442	18096891	-	1450	518	566	540	298	396	332
gene-AT3G48810	CP002686.1	18097010	18099721	+	2712	250	266	236	212	250	220
gene-AT3G48820	CP002686.1	18099712	18102941	-	3230	594	602	610	647	696	654
gene-AT3G48830	CP002686.1	18103141	18106460	+	3320	186	184	132	82	154	124
gene-AT3G48835	CP002686.1	18107490	18110289	+	2800	26	10	14	20	16	4
gene-AT3G48840	CP002686.1	18112534	18114070	-	1537	6	12	4	8	2	2
gene-AT3G48850	CP002686.1	18114526	18116569	-	2044	74	54	16	30	22	14
gene-AT3G48860	CP002686.1	18117237	18122812	+	5576	1178	1284	1180	1502	1558	1332
gene-AT3G48870	CP002686.1	18122118	18126742	-	4625	8655	9087	9155	8084	8784	7818
gene-AT3G48880	CP002686.1	18126788	18129251	+	2464	1184	1174	1102	1342	1324	1214
gene-AT3G48890	CP002686.1	18129452	18131592	+	2141	2507	2576	2198	2450	2635	2318
gene-AT3G48900	CP002686.1	18131808	18136485	+	4678	100	110	108	104	112	82
gene-AT3G48920	CP002686.1	18139172	18140772	+	1601	218	280	236	102	126	116
gene-AT3G48930	CP002686.1	18140771	18142281	-	1511	8576	9249	8804	8450	8975	8227
gene-AT3G48940	CP002686.1	18142618	18144311	-	1694	10	10	14	4	4	4
gene-AT3G48950	CP002686.1	18147671	18150058	+	2388	0	0	0	0	0	0
gene-AT3G48960	CP002686.1	18150444	18151412	-	969	0	0	0	1	0	0
gene-AT3G48970	CP002686.1	18152236	18153643	-	1408	64	56	48	114	90	96
gene-AT3G48980	CP002686.1	18155087	18158417	+	3331	362	449	428	328	412	327
gene-AT3G48990	CP002686.1	18158565	18161486	-	2922	18691	17512	19208	23183	25910	19080
gene-AT3G49000	CP002686.1	18162560	18165986	+	3427	868	856	812	804	898	798
gene-AT3G00860	CP002686.1	18166186	18166480	+	295	0	0	0	0	0	0
gene-AT3G49010	CP002686.1	18166708	18168700	-	1993	13654	15725	14530	12360	14799	13473
gene-AT3G49020	CP002686.1	18169079	18170660	+	1582	0	0	0	0	0	0
gene-AT3G49030	CP002686.1	18173087	18174947	+	1861	0	0	0	0	0	0
gene-AT3G08025	CP002686.1	18176380	18176605	+	226	0	0	0	0	0	0
gene-AT3G08035	CP002686.1	18176508	18176753	-	246	0	0	0	0	0	0
gene-AT3G49040	CP002686.1	18177482	18178839	+	1358	0	0	0	0	0	0
gene-AT3G49045	CP002686.1	18178861	18179339	+	479	0	0	0	0	0	0
gene-AT3G49050	CP002686.1	18180907	18184048	+	3142	822	751	694	780	812	762
gene-AT3G49055	CP002686.1	18185109	18186968	-	1860	10	14	16	15	32	17
gene-AT3G49060	CP002686.1	18186898	18192145	-	5248	1050	1054	1017	1087	1248	1088
gene-AT3G49070	CP002686.1	18192347	18193867	-	1521	158	190	188	200	242	162
gene-AT3G49080	CP002686.1	18194154	18196784	-	2631	1167	1470	1362	1064	1284	1154
gene-AT3G49100	CP002686.1	18196308	18198492	+	2185	502	534	454	464	502	462
gene-AT3G49110	CP002686.1	18200587	18203265	+	2679	410	398	531	376	493	445
gene-AT3G49115	CP002686.1	18205775	18205975	+	201	0	0	0	0	0	0
gene-AT3G49120	CP002686.1	18207651	18210333	+	2683	6893	5986	6890	7458	7507	6840
gene-AT3G49130	CP002686.1	18210453	18211708	+	1256	10	12	4	48	25	34
gene-AT3G49140	CP002686.1	18211863	18215743	-	3881	5379	5157	4685	5601	5940	5672
gene-AT3G49142	CP002686.1	18215788	18217884	-	2097	52	61	56	48	56	66
gene-AT3G49150	CP002686.1	18218858	18220430	+	1573	0	0	0	0	2	2
gene-AT3G49155	CP002686.1	18220778	18222084	+	1307	0	4	0	0	0	0
gene-AT3G49160	CP002686.1	18221794	18224905	-	3112	372	388	250	1644	1549	1294
gene-AT3G49170	CP002686.1	18226827	18229610	-	2784	204	292	252	208	204	114
gene-AT3G49180	CP002686.1	18229747	18232004	+	2258	540	654	599	556	731	612
gene-AT3G08045	CP002686.1	18230891	18231181	-	291	0	0	0	0	0	0
gene-AT3G49190	CP002686.1	18231845	18234391	-	2547	72	80	60	30	58	32
gene-AT3G49200	CP002686.1	18235269	18237646	-	2378	0	4	0	0	0	2
gene-AT3G49210	CP002686.1	18238044	18241524	-	3481	294	268	329	378	414	330
gene-AT3G49220	CP002686.1	18249663	18253911	+	4249	3942	4052	4130	5058	5154	4498
gene-AT3G49230	CP002686.1	18254232	18255485	+	1254	0	2	2	0	0	0
gene-AT3G49250	CP002686.1	18255960	18260998	-	5039	448	498	398	516	492	508
gene-AT3G49240	CP002686.1	18255961	18258203	+	2243	903	1066	1031	612	633	566
gene-AT3G49260	CP002686.1	18262290	18266021	+	3732	2327	2626	2312	2398	2811	2276
gene-AT3G49270	CP002686.1	18267149	18268271	-	1123	2	0	2	0	0	2
gene-AT3G49290	CP002686.1	18272283	18275442	+	3160	1238	1212	1066	1138	1232	1200
gene-AT3G49300	CP002686.1	18276770	18277605	-	836	12	8	2	0	0	2
gene-AT3G08055	CP002686.1	18278012	18278400	+	389	0	0	0	0	0	0
gene-AT3G08050	CP002686.1	18278012	18278256	-	245	0	0	0	0	0	0
gene-AT3G49305	CP002686.1	18279622	18280408	-	787	0	0	0	0	0	0
gene-AT3G49307	CP002686.1	18282202	18283194	-	993	0	0	0	0	0	0
gene-AT3G49310	CP002686.1	18284787	18288118	-	3332	1174	1113	1158	1358	1398	1240
gene-AT3G49320	CP002686.1	18288172	18290672	-	2501	172	208	162	126	160	218
gene-AT3G49330	CP002686.1	18291339	18292267	+	929	120	118	154	106	100	76
gene-AT3G49340	CP002686.1	18293173	18294621	-	1449	42	0	0	2	4	0
gene-AT3G49350	CP002686.1	18296990	18300189	-	3200	829	982	842	984	1078	874
gene-AT3G49360	CP002686.1	18303007	18304466	-	1460	502	456	506	502	580	478
gene-AT3G49370	CP002686.1	18304637	18308091	-	3455	188	168	212	196	182	134
gene-AT3G49380	CP002686.1	18311760	18313621	-	1862	52	47	26	40	60	36
gene-AT3G49390	CP002686.1	18314006	18318041	-	4036	1244	1450	1198	1352	1508	1531
gene-AT3G49400	CP002686.1	18319060	18324624	-	5565	280	240	210	274	272	216
gene-AT3G49410	CP002686.1	18324705	18329350	+	4646	166	144	114	64	122	78
